month_,country_code,organization_type,city_name,first_online_date,shop_cnt,complete_orders,daily_orders
6,CO,Normal,Bogotá_ D.C.,2024-02-16,4,15,0.5
6,MX,Normal,Monterrey,2024-01-06,2,0,0.0
6,MX,Normal,Guadalajara,2024-06-10,4,98,4.666666666666667
6,CO,Normal,Bucaramanga,2024-02-29,1,109,3.6333333333333333
6,MX,Normal,Morelia,2024-02-22,2,72,2.4
6,MX,Normal,Toluca,2024-04-16,1,43,3.0714285714285716
6,MX,Normal,La Paz,2024-04-26,1,35,1.4583333333333333
6,MX,Normal,Zacatecas,2024-06-19,1,0,0.0
6,CO,Normal,Medellín,2024-03-05,2,16,0.5333333333333333
6,MX,Normal,Chihuahua,2024-04-12,1,0,0.0
6,MX,CKA,Culiacan,2024-03-13,1,0,0.0
6,MX,Normal,Mexico City,2024-06-21,13,115,11.5
6,CO,CKA,Medellín,2024-03-19,4,901,30.033333333333335
6,MX,CKA,Tampico,2024-03-20,1,57,1.9
6,MX,CKA,Mexico City,2024-04-06,2,3,0.75
6,MX,Normal,Tijuana,2024-02-26,1,0,0.0
6,MX,Normal,Guadalajara,2024-02-29,1,10,0.3333333333333333
6,MX,Normal,Tampico,2024-02-27,1,146,4.866666666666666
6,MX,Normal,Mexico City,2024-04-14,1,1,0.08333333333333333
6,CO,Normal,Bogotá_ D.C.,2024-06-06,3,175,7.0
6,MX,Normal,Mexico City,2024-04-08,10,1288,53.666666666666664
6,MX,Normal,Tepic,2024-04-10,2,24,3.0
6,MX,Normal,Chihuahua,2024-05-21,1,17,0.5666666666666667
6,MX,CKA,Mexico City,2024-02-23,1,28,0.9333333333333333
6,MX,Normal,Chihuahua,2024-03-04,1,29,0.9666666666666667
6,CO,Normal,Cali,2024-04-20,1,23,1.9166666666666667
6,MX,Normal,Cuernavaca,2024-06-27,2,4,1.0
6,MX,Normal,Queretaro,2024-04-03,1,0,0.0
6,MX,Normal,Mexico City,2024-01-12,3,186,6.2
6,PE,Normal,Lima,2024-03-06,2,0,0.0
6,MX,Normal,Mazatlan,2024-06-21,1,65,6.5
6,MX,Normal,Ensenada,2024-03-14,1,135,4.5
6,MX,Normal,Ensenada,2024-01-11,1,33,1.1
6,CO,Normal,Cali,2024-02-24,3,41,1.3666666666666667
6,CO,Normal,Bogotá_ D.C.,2024-06-17,9,158,11.285714285714286
6,MX,Normal,Mexico City,2024-04-10,14,786,35.72727272727273
6,MX,Normal,Hermosillo,2024-02-11,1,28,0.9333333333333333
6,MX,Normal,Guadalajara,2024-04-23,7,170,18.88888888888889
6,PE,Normal,Lima,2024-01-25,13,58,1.9333333333333333
6,CO,CKA,Cali,2024-04-19,1,4,0.23529411764705882
6,MX,Normal,Mexico City,2024-06-05,12,1410,54.23076923076923
6,MX,CKA,Tepic,2024-05-10,1,155,5.166666666666667
6,CO,Normal,Cali,2024-04-24,5,85,3.8636363636363638
6,MX,Normal,Puerto Vallarta,2024-06-17,2,44,3.142857142857143
6,MX,Normal,San Juan del Río,2024-06-19,1,1,0.08333333333333333
6,MX,Normal,Celaya,2024-06-11,1,0,0.0
6,MX,Normal,Acapulco,2024-04-25,1,22,3.142857142857143
6,MX,CKA,Guadalajara,2024-04-01,1,0,0.0
6,MX,Normal,Monterrey,2024-04-04,3,50,25.0
6,MX,Normal,Ciudad Obregon,2024-03-04,1,0,0.0
6,MX,Normal,Queretaro,2024-04-08,1,0,0.0
6,MX,Normal,Torreon,2024-03-07,1,0,0.0
6,MX,Normal,Guadalajara,2024-02-26,1,3,0.1
6,MX,Normal,Zacatecas,2024-05-28,1,30,1.0
6,MX,CKA,San Luis Potosi,2024-05-17,1,8,0.26666666666666666
6,MX,Normal,Irapuato,2024-02-10,1,278,9.266666666666667
6,MX,Normal,San Luis Potosi,2024-06-05,2,78,3.0
6,MX,Normal,Villahermosa,2024-03-16,1,20,0.6666666666666666
6,MX,Normal,Guadalajara,2024-02-12,2,0,0.0
6,CO,Normal,Medellín,2024-01-30,1,0,0.0
6,MX,Normal,Tampico,2024-03-22,1,662,22.066666666666666
6,MX,Normal,Chihuahua,2024-06-26,1,4,0.8
6,MX,Normal,Chihuahua,2024-04-05,2,0,0.0
6,MX,Normal,Morelia,2024-06-19,3,85,7.083333333333333
6,MX,Normal,Tepic,2024-06-29,1,0,0.0
6,MX,Normal,Torreon,2024-04-15,2,7,0.4117647058823529
6,CO,Normal,Cartagena,2024-01-31,1,0,0.0
6,MX,CKA,Puebla,2024-04-12,1,0,0.0
6,MX,Normal,Navojoa,2024-04-29,1,7,2.3333333333333335
6,MX,Normal,Torreon,2024-05-21,3,63,2.1
6,MX,Normal,Guadalajara,2024-05-22,10,856,28.533333333333335
6,MX,Normal,Acapulco,2024-06-07,1,206,8.583333333333334
6,CO,Normal,Medellín,2024-04-15,2,124,7.294117647058823
6,CO,Normal,Bogotá_ D.C.,2024-05-18,2,185,6.166666666666667
6,MX,Normal,Mexico City,2024-03-14,18,562,18.733333333333334
6,MX,CKA,Mexicali,2024-04-10,1,428,53.5
6,MX,Normal,Culiacan,2024-03-15,2,150,5.0
6,MX,Normal,Morelia,2024-06-25,4,1,0.16666666666666666
6,MX,CKA,Guadalajara,2024-04-26,3,11,1.8333333333333333
6,MX,Normal,Monterrey,2024-03-26,3,250,8.333333333333334
6,MX,Normal,Xalapa,2024-05-08,1,6,0.2
6,MX,Normal,Mazatlan,2024-06-07,1,126,5.25
6,MX,Normal,Saltillo,2024-02-25,1,64,2.1333333333333333
6,MX,CKA,Mexico City,2024-02-19,2,194,6.466666666666667
6,MX,Normal,Tijuana,2024-04-12,1,58,2.9
6,MX,Normal,Leon,2024-01-31,4,30,1.0
6,MX,Normal,Monterrey,2024-03-27,3,169,5.633333333333334
6,MX,Normal,Culiacan,2024-01-23,4,25,0.8333333333333334
6,PE,Normal,Lima,2024-01-23,12,73,2.433333333333333
6,MX,Normal,Mexico City,2024-05-20,5,708,23.6
6,MX,Normal,Ciudad Obregon,2024-04-02,1,62,2.066666666666667
6,MX,CKA,Mexico City,2024-03-26,5,153,5.1
6,CO,Normal,Bogotá_ D.C.,2024-04-06,2,1,0.038461538461538464
6,CO,Normal,Medellín,2024-06-19,2,34,2.8333333333333335
6,MX,Normal,Mazatlan,2024-05-23,2,152,5.066666666666666
6,PE,CKA,Lima,2024-03-27,2,371,12.366666666666667
6,MX,Normal,Durango,2024-02-01,1,35,1.1666666666666667
6,MX,CKA,Queretaro,2024-04-17,3,27,1.8
6,MX,Normal,Colima,2024-01-24,1,102,3.4
6,CO,CKA,Bucaramanga,2024-06-07,1,59,2.4583333333333335
6,MX,Normal,Hermosillo,2024-01-23,1,28,0.9333333333333333
6,MX,Normal,Xalapa,2024-06-10,1,124,5.904761904761905
6,MX,Normal,Acapulco,2024-02-06,1,0,0.0
6,CO,CKA,Barranquilla,2024-04-22,1,61,6.1
6,MX,Normal,Chihuahua,2024-04-26,1,24,1.0
6,MX,Normal,Acapulco,2024-02-23,1,583,19.433333333333334
6,MX,Normal,Guadalajara,2024-03-22,4,4,0.13333333333333333
6,MX,Normal,Navojoa,2024-04-29,1,46,1.7037037037037037
6,MX,Normal,Monterrey,2024-05-03,2,35,1.1666666666666667
6,MX,Normal,Hermosillo,2024-04-13,3,71,6.454545454545454
6,MX,CKA,Puebla,2024-05-07,1,74,2.466666666666667
6,MX,CKA,Mexico City,2024-06-20,1,3,0.2727272727272727
6,MX,Normal,Toluca,2024-04-24,4,11,0.5
6,MX,Normal,Puebla,2024-01-15,2,0,0.0
6,CO,Normal,Barranquilla,2024-04-01,1,297,9.9
6,MX,Normal,Culiacan,2024-04-24,1,93,11.625
6,MX,Normal,Saltillo,2024-04-05,1,3,1.0
6,MX,Normal,Cuernavaca,2024-03-08,1,157,5.233333333333333
6,MX,Normal,Jaurez CHIH,2024-04-19,1,81,6.230769230769231
6,MX,Normal,Tuxtla Gutierrez,2024-01-19,1,1,0.03333333333333333
6,MX,Normal,Navojoa,2024-04-15,1,88,5.176470588235294
6,MX,Normal,Hermosillo,2024-06-01,1,17,0.5666666666666667
6,MX,Normal,Tuxtla Gutierrez,2024-02-22,2,405,13.5
6,CO,Normal,Barranquilla,2024-03-14,2,0,0.0
6,CO,CKA,Cali,2024-06-22,1,36,4.0
6,CR,Normal,San Jose,2024-06-14,1,0,0.0
6,MX,Normal,Mexico City,2024-04-11,15,133,6.333333333333333
6,MX,Normal,Irapuato,2024-01-23,1,1,0.03333333333333333
6,MX,Normal,Culiacan,2024-06-11,1,31,1.55
6,MX,Normal,Villahermosa,2024-05-08,1,0,0.0
6,MX,CKA,Guadalajara,2024-06-26,1,5,1.0
6,MX,Normal,San Juan del Río,2024-05-23,1,78,2.6
6,MX,Normal,Oaxaca,2024-02-08,2,4,0.13333333333333333
6,MX,Normal,Morelia,2024-06-08,1,70,3.0434782608695654
6,MX,CKA,Mexico City,2024-06-21,24,0,0.0
6,MX,Normal,Veracruz,2024-04-23,1,0,0.0
6,MX,CKA,Villahermosa,2024-04-22,1,72,3.6
6,CO,Normal,Bogotá_ D.C.,2024-04-07,1,13,2.6
6,CO,CKA,Cali,2024-04-17,1,4,0.26666666666666666
6,CO,Normal,Bogotá_ D.C.,2024-06-24,1,1,0.14285714285714285
6,MX,Normal,Nuevo Laredo,2024-04-10,1,17,2.125
6,PE,Normal,Lima,2024-04-08,5,16,0.6666666666666666
6,CO,Normal,Cali,2024-01-13,1,5,0.16666666666666666
6,MX,Normal,Veracruz,2024-03-24,1,35,1.1666666666666667
6,PE,CKA,Lima,2024-01-13,1,10,0.3333333333333333
6,MX,Normal,Chihuahua,2024-02-29,1,15,0.5
6,MX,Normal,Villahermosa,2024-06-07,3,89,3.7083333333333335
6,MX,CKA,San Luis Potosi,2024-05-02,1,13,0.43333333333333335
6,CO,Normal,Medellín,2024-04-07,2,1154,230.8
6,MX,Normal,Mexico City,2024-03-04,16,1176,39.2
6,MX,CKA,Culiacan,2024-06-04,2,74,2.740740740740741
6,MX,Normal,Guadalajara,2024-06-13,12,499,27.72222222222222
6,MX,Normal,San Luis Potosi,2024-05-16,1,45,1.5
6,MX,Normal,Cordoba,2024-02-14,1,241,8.033333333333333
6,MX,Normal,Tepic,2024-05-15,2,101,3.3666666666666667
6,MX,CKA,Durango,2024-04-10,1,4,0.5
6,MX,Normal,Tlaxcala,2024-01-22,1,0,0.0
6,MX,CKA,Xalapa,2024-01-08,1,5,0.16666666666666666
