country_code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Oaxaca,SME,2024-06-24 / 2024-06-30,90.0
MX,Coatzacoalcos,SME,2024-06-24 / 2024-06-30,15.0
MX,Merida,SME,2024-06-24 / 2024-06-30,62.0
MX,La Paz,SME,2024-06-24 / 2024-06-30,77.0
MX,Chetumal,SME,2024-06-24 / 2024-06-30,4.0
MX,Campeche,SME,2024-06-24 / 2024-06-30,35.0
MX,Tuxtla Gutierrez,SME,2024-06-24 / 2024-06-30,93.0
MX,San Cristobal de las Casas,SME,2024-06-24 / 2024-06-30,15.0
MX,Salamanca,SME,2024-06-24 / 2024-06-30,9.0
MX,Tijuana,SME,2024-06-24 / 2024-06-30,200.0
MX,Los Mochis-Guasave,SME,2024-06-24 / 2024-06-30,53.0
MX,Delicias,SME,2024-06-24 / 2024-06-30,33.0
MX,Durango,SME,2024-06-24 / 2024-06-30,162.0
MX,Irapuato,SME,2024-06-24 / 2024-06-30,32.0
MX,Cuernavaca,SME,2024-06-24 / 2024-06-30,101.0
MX,San Juan del Rio,SME,2024-06-24 / 2024-06-30,29.0
MX,Tehuacan,SME,2024-06-24 / 2024-06-30,14.0
MX,Tapachula,SME,2024-06-24 / 2024-06-30,16.0
MX,Jaurez CHIH,SME,2024-06-24 / 2024-06-30,240.0
MX,Nuevo Laredo,SME,2024-06-24 / 2024-06-30,35.0
MX,Ensenada,SME,2024-06-24 / 2024-06-30,137.0
MX,Mexicali,SME,2024-06-24 / 2024-06-30,225.0
MX,Chihuahua,SME,2024-06-24 / 2024-06-30,109.0
MX,Pachuca,SME,2024-06-24 / 2024-06-30,21.0
MX,Queretaro,SME,2024-06-24 / 2024-06-30,127.0
MX,Victoria,SME,2024-06-24 / 2024-06-30,48.0
MX,Puerto Vallarta,SME,2024-06-24 / 2024-06-30,39.0
MX,Acapulco,SME,2024-06-24 / 2024-06-30,20.0
MX,Culiacan,SME,2024-06-24 / 2024-06-30,146.0
MX,Veracruz,SME,2024-06-24 / 2024-06-30,64.0
MX,Morelia,SME,2024-06-24 / 2024-06-30,133.0
MX,Tepic,SME,2024-06-24 / 2024-06-30,108.0
