country_code,city_id,city_name,area_maintainer
MX,52300200,Coatzacoalcos,fgonzalezhernandez
MX,52280400,Victoria,
CO,57070100,Cartagena,
MX,52010100,Aguascalientes,josemartinezrabago
MX,52230100,Cancun,
MX,52160400,Morelia,erikgallardoortega
MX,52060200,Manzanillo,evarillagutierrez
CO,57040100,Barranquilla,garymolinalozano
MX,52090100,Mexico City,ismaelperezalatorre
MX,52310300,Merida,alejandralugoalejo
MX,52210400,Puebla,dvilchissanchez
MX,52090100,Mexico City,danielamedinacano1
CO,57240100,Bucaramanga,
CO,57010100,Medell¨ªn,josuepallaresgalvan
CO,57380100,Bogot¨¢_ D.C.,piedadanzola
CO,57380100,Bogot¨¢_ D.C.,carolinaechavarria
CO,57040100,Barranquilla,
PE,51541300,Lima,marcelostornaiuolo
CO,57380100,Bogot¨¢_ D.C.,susangaleano
PE,51541300,Lima,johanafonsecaanco
PE,51541300,Lima,marcomontoya
MX,52060100,Colima,josuegarciagarcia
MX,52100200,Durango,omarlunagutierrez
PE,51311000,Arequipa,
PE,51541300,Lima,andrestellez
MX,52020300,Ensenada,
MX,52310300,Merida,
MX,52170200,Cuernavaca,fjimenezmercado
MX,52230200,Solidaridad,davidmachorroacuna
MX,52210400,Puebla,
MX,52230100,Cancun,ronaldaguilarlopez
MX,52220200,San Juan del R¨ªo,
MX,52070200,Comitan de Dominguez,
MX,52190500,Monterrey,
MX,52280500,Matamoros,
MX,52250300,Mazatlan,yeshuapenhosreyes
MX,52280200,Reynosa,
MX,52080800,Jaurez CHIH,ncordovaterrazas
MX,52301200,Cordoba,
MX,52250300,Mazatlan,raullopezdelgado
CO,57040100,Barranquilla,luismoreno1
MX,52190500,Monterrey,josemoralesnoyola
MX,52090100,Mexico City,
MX,52040100,Campeche,
MX,52131500,Tulancingo,
MX,52090100,Mexico City,marcomunozreyes
CO,57040100,Barranquilla,brayanhamburger
MX,52250400,Los Mochis-Guasave,daniel.avila_v
CO,57220100,Ibagu¨¦,
MX,52301200,Cordoba,mfrancodrouaillet
MX,52090100,Mexico City,hguerreroperrusquia
CO,57380100,Bogot¨¢_ D.C.,jhon.nino.ac_v
CO,57380100,Bogot¨¢_ D.C.,dannanavarrete
CO,57330100,Cali,
CO,57380100,Bogot¨¢_ D.C.,karenruiz
CO,57010100,Medell¨ªn,jamesdiazvanegas
CO,57010100,Medell¨ªn,
CO,57330100,Cali,ximenaidarraga
CO,57190100,Pereira,
CO,57380100,Bogot¨¢_ D.C.,
CO,57380100,Bogot¨¢_ D.C.,johnnycalderon
