country_code,city_name,organization_type,stat_date(月),Daily Orders
MX,Merida,CKA,2024-06-01 / 2024-06-01,520
MX,Solidaridad,KA,2024-06-01 / 2024-06-01,391
MX,Veracruz,KA,2024-06-01 / 2024-06-01,1128
MX,Cuernavaca,KA,2024-06-01 / 2024-06-01,2324
MX,Acapulco,KA,2024-06-01 / 2024-06-01,638
MX,Morelia,KA,2024-06-01 / 2024-06-01,1160
MX,Cancun,KA,2024-06-01 / 2024-06-01,2508
MX,Xalapa,KA,2024-06-01 / 2024-06-01,481
MX,Puebla,CKA,2024-06-01 / 2024-06-01,2113
MX,Puebla,KA,2024-06-01 / 2024-06-01,3517
MX,Puebla,DK,2024-06-01 / 2024-06-01,261
MX,Merida,KA,2024-06-01 / 2024-06-01,1573
MX,Merida,DK,2024-06-01 / 2024-06-01,65
MX,Ciudad Obregon,DK,2024-06-01 / 2024-06-01,2
MX,Guaymas,SME,2024-06-01 / 2024-06-01,0
MX,Navojoa,SME,2024-06-01 / 2024-06-01,302
MX,Mazatlan,DK,2024-06-01 / 2024-06-01,20
MX,Tijuana,DK,2024-06-01 / 2024-06-01,134
MX,Culiacan,DK,2024-06-01 / 2024-06-01,76
MX,Puerto Vallarta,DK,2024-06-01 / 2024-06-01,16
MX,Mexicali,DK,2024-06-01 / 2024-06-01,342
MX,Ensenada,DK,2024-06-01 / 2024-06-01,68
MX,Los Mochis-Guasave,DK,2024-06-01 / 2024-06-01,24
MX,Los Cabos,DK,2024-06-01 / 2024-06-01,4
MX,Nogales(SON),DK,2024-06-01 / 2024-06-01,-
MX,Tepic,DK,2024-06-01 / 2024-06-01,82
MX,Los Cabos,SME,2024-06-01 / 2024-06-01,706
MX,Los Mochis-Guasave,SME,2024-06-01 / 2024-06-01,877
MX,Manzanillo,SME,2024-06-01 / 2024-06-01,494
MX,La Paz,SME,2024-06-01 / 2024-06-01,1052
MX,Ciudad Obregon,SME,2024-06-01 / 2024-06-01,1185
MX,Mazatlan,SME,2024-06-01 / 2024-06-01,979
MX,Puerto Vallarta,SME,2024-06-01 / 2024-06-01,739
MX,Nogales(SON),SME,2024-06-01 / 2024-06-01,0
MX,Tijuana,SME,2024-06-01 / 2024-06-01,3252
MX,Tepic,SME,2024-06-01 / 2024-06-01,1575
MX,Guadalajara,SME,2024-06-01 / 2024-06-01,13008
MX,Hermosillo,SME,2024-06-01 / 2024-06-01,1674
MX,Ensenada,SME,2024-06-01 / 2024-06-01,2338
MX,Mexicali,SME,2024-06-01 / 2024-06-01,4550
MX,Colima,SME,2024-06-01 / 2024-06-01,1130
MX,Colima,DK,2024-06-01 / 2024-06-01,41
MX,La Paz,DK,2024-06-01 / 2024-06-01,70
MX,Culiacan,SME,2024-06-01 / 2024-06-01,2131
MX,Los Cabos,KA,2024-06-01 / 2024-06-01,647
MX,Navojoa,KA,2024-06-01 / 2024-06-01,233
MX,Los Mochis-Guasave,KA,2024-06-01 / 2024-06-01,663
MX,Los Cabos,CKA,2024-06-01 / 2024-06-01,188
MX,Guaymas,KA,2024-06-01 / 2024-06-01,0
MX,Ciudad Obregon,KA,2024-06-01 / 2024-06-01,769
MX,Hermosillo,DK,2024-06-01 / 2024-06-01,29
MX,La Paz,KA,2024-06-01 / 2024-06-01,769
MX,Nogales(SON),KA,2024-06-01 / 2024-06-01,0
MX,Colima,CKA,2024-06-01 / 2024-06-01,126
MX,Manzanillo,CKA,2024-06-01 / 2024-06-01,121
MX,La Paz,CKA,2024-06-01 / 2024-06-01,136
MX,Puerto Vallarta,CKA,2024-06-01 / 2024-06-01,128
MX,Nogales(SON),CKA,2024-06-01 / 2024-06-01,0
MX,Ensenada,CKA,2024-06-01 / 2024-06-01,708
MX,Navojoa,CKA,2024-06-01 / 2024-06-01,27
MX,Guaymas,CKA,2024-06-01 / 2024-06-01,0
MX,Ciudad Obregon,CKA,2024-06-01 / 2024-06-01,600
MX,Tepic,CKA,2024-06-01 / 2024-06-01,648
MX,Mazatlan,CKA,2024-06-01 / 2024-06-01,522
MX,Culiacan,CKA,2024-06-01 / 2024-06-01,2201
MX,Mexicali,CKA,2024-06-01 / 2024-06-01,3613
MX,Tijuana,CKA,2024-06-01 / 2024-06-01,1900
MX,Hermosillo,CKA,2024-06-01 / 2024-06-01,1217
MX,Los Mochis-Guasave,CKA,2024-06-01 / 2024-06-01,367
MX,Tepic,KA,2024-06-01 / 2024-06-01,976
MX,Tijuana,KA,2024-06-01 / 2024-06-01,3858
MX,Hermosillo,KA,2024-06-01 / 2024-06-01,1478
MX,Colima,KA,2024-06-01 / 2024-06-01,866
MX,Manzanillo,KA,2024-06-01 / 2024-06-01,595
MX,Mazatlan,KA,2024-06-01 / 2024-06-01,1098
MX,Puerto Vallarta,KA,2024-06-01 / 2024-06-01,598
MX,Mexicali,KA,2024-06-01 / 2024-06-01,3745
MX,Culiacan,KA,2024-06-01 / 2024-06-01,2114
MX,Ensenada,KA,2024-06-01 / 2024-06-01,1238
MX,Guadalajara,CKA,2024-06-01 / 2024-06-01,8329
MX,Guadalajara,KA,2024-06-01 / 2024-06-01,9700
MX,Guadalajara,DK,2024-06-01 / 2024-06-01,961
MX,Guanajuato,SME,2024-06-01 / 2024-06-01,-
MX,Nuevo Laredo,DK,2024-06-01 / 2024-06-01,44
MX,Valles City,SME,2024-06-01 / 2024-06-01,-
MX,San Miguel de Allende,SME,2024-06-01 / 2024-06-01,0
MX,Matamoros,DK,2024-06-01 / 2024-06-01,5
MX,Irapuato,DK,2024-06-01 / 2024-06-01,-
MX,Aguascalientes,DK,2024-06-01 / 2024-06-01,10
MX,Celaya,DK,2024-06-01 / 2024-06-01,1
MX,San Juan del Río,DK,2024-06-01 / 2024-06-01,0
MX,Victoria,DK,2024-06-01 / 2024-06-01,6
MX,Piedras Negras,SME,2024-06-01 / 2024-06-01,-
MX,Durango,DK,2024-06-01 / 2024-06-01,133
MX,Tampico,DK,2024-06-01 / 2024-06-01,12
MX,Torreon,DK,2024-06-01 / 2024-06-01,92
MX,Chihuahua,DK,2024-06-01 / 2024-06-01,83
MX,Delicias,KA,2024-06-01 / 2024-06-01,240
MX,Salamanca,DK,2024-06-01 / 2024-06-01,1
MX,Reynosa,DK,2024-06-01 / 2024-06-01,-
MX,San Luis Potosi,DK,2024-06-01 / 2024-06-01,87
MX,Leon,DK,2024-06-01 / 2024-06-01,33
MX,Nuevo Laredo,SME,2024-06-01 / 2024-06-01,644
MX,Monclova,SME,2024-06-01 / 2024-06-01,0
MX,Delicias,SME,2024-06-01 / 2024-06-01,486
MX,San Juan del Río,SME,2024-06-01 / 2024-06-01,445
MX,Queretaro,SME,2024-06-01 / 2024-06-01,2095
MX,San Luis Potosi,SME,2024-06-01 / 2024-06-01,2069
MX,Aguascalientes,SME,2024-06-01 / 2024-06-01,1414
MX,Tampico,SME,2024-06-01 / 2024-06-01,1322
MX,Jaurez CHIH,SME,2024-06-01 / 2024-06-01,4070
MX,Salamanca,SME,2024-06-01 / 2024-06-01,148
MX,Durango,SME,2024-06-01 / 2024-06-01,2517
MX,Leon,SME,2024-06-01 / 2024-06-01,1881
MX,Celaya,SME,2024-06-01 / 2024-06-01,601
MX,Zacatecas,SME,2024-06-01 / 2024-06-01,644
MX,Chihuahua,SME,2024-06-01 / 2024-06-01,1711
MX,Matamoros,SME,2024-06-01 / 2024-06-01,1192
MX,Irapuato,SME,2024-06-01 / 2024-06-01,559
