Metric,CDMX - Baseline,CDMX - Target,Pacifico - Baseline,Pacifico - Target
Daily Orders CKA,1372,1753,1139,1455
CKA Total Rs Acquired (By BDs),753,745,138,137
Daily Orders of CKA Rs acquired in 2024,204,211,141,146
CKA # of R1s  (5+ Daily Orders),85,114,67,90
