Metric,CO  - Baseline,CO  - Target,CR  - Baseline,CR  - Target,PE  - Baseline,PE  - Target
Daily Orders SME,9312,14269,2020,2430,2290,2580
SME Daily Orders for Rs FO in current year,2352,4039,225,380,1697,676
SME # of R1s  (5+ Daily Orders),596,1079,103,133,89,122
Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD
Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD
SME Total Rs Acquired (By BDs),3028,2459,TBD,387,199,851
