Sergiocanal OKR's
Metric,MX - Baseline,MX - Target
CKA
Daily Orders CKA,53700.0,68600.0
CKA Total Rs Acquired (By BDs),2231.0,2208.0
Daily Orders of CKA Rs acquired in 2024,6855.0,7077.0
